time,累计流量(立方米),化学需氧量(毫克/升)监测值,化学需氧量排放量（千克）,氨氮(毫克/升)监测值,氨氮排放量(千克),总氮(毫克/升)监测值,总氮排放量(千克),总磷(毫克/升)监测值,总磷排放量(千克),累计流量(立方米).1,pH监测最小值,pH监测平均值,pH监测最大值,化学需氧量(毫克/升)监测值.1,化学需氧量排放量（千克）.1,氨氮(毫克/升)监测值.1,氨氮排放量（千克）,总氮(毫克/升)监测值.1,总氮排放量（千克）,总磷(毫克/升)监测值.1,总磷排放量（千克）,水温(摄氏度)监测最小值,水温(摄氏度)监测平均值,水温(摄氏度)监测最大值,anomaly
2024-08-01 23,924.665,232,214.522,12.35,11.42,53.482,49.453,2.48,2.293,953.527,7.255,7.255,7.255,11,10.489,0.53,0.505,7.638,7.283,0.13,0.124,25.212,25.212,25.212,
2024-08-01 22,973.741,232,225.908,12.35,12.026,53.482,52.078,2.48,2.415,914.372,7.217,7.217,7.217,11,10.058,0.53,0.485,7.638,6.984,0.13,0.119,25.24,25.24,25.24,
2024-08-01 21,968.668,238,230.543,11.46,11.101,88.406,85.636,2.15,2.083,947.542,7.198,7.198,7.198,7,6.633,0.71,0.673,7.966,7.548,0.14,0.133,25.291,25.291,25.291,
2024-08-01 20,973.044,238,231.584,11.46,11.151,88.406,86.023,2.15,2.092,964.107,7.158,7.158,7.158,7,6.749,0.71,0.685,7.966,7.68,0.14,0.135,25.342,25.342,25.342,
2024-08-01 19,984.656,230,226.471,12.07,11.885,87.887,86.538,2.16,2.127,979.87,7.125,7.125,7.125,10,9.799,0.49,0.48,7.944,7.784,0.16,0.157,25.391,25.391,25.391,
2024-08-01 18,991.279,230,227.994,12.07,11.965,87.887,87.121,2.16,2.141,973.367,7.046,7.046,7.046,10,9.734,0.49,0.477,7.944,7.732,0.16,0.156,25.437,25.437,25.437,
2024-08-01 17,986.098,226,222.858,12.14,11.971,38.624,38.087,1.93,1.903,974.554,6.99,6.99,6.99,10,9.746,0.46,0.448,7.885,7.684,0.14,0.136,25.461,25.461,25.461,
2024-08-01 16,983.495,226,222.27,12.14,11.94,38.624,37.987,1.93,1.898,912.577,6.97,6.97,6.97,10,9.126,0.46,0.42,7.885,7.196,0.14,0.128,25.456,25.456,25.456,
2024-08-01 15,974.465,228,222.178,13.16,12.824,37.844,36.878,1.77,1.725,960.956,7.001,7.001,7.001,9,8.649,0.48,0.461,8.013,7.7,0.11,0.106,25.409,25.409,25.409,
2024-08-01 14,996.877,228,227.288,13.16,13.119,37.844,37.726,1.77,1.764,968.081,7.025,7.025,7.025,9,8.713,0.48,0.465,8.013,7.757,0.11,0.106,25.334,25.334,25.334,
2024-08-01 13,999.314,222,221.848,14.33,14.32,39.171,39.144,2.29,2.288,971.196,7.036,7.036,7.036,12,11.654,0.6,0.583,7.832,7.606,0.14,0.136,25.259,25.259,25.259,
2024-08-01 12,1013.592,222,225.017,14.33,14.525,39.171,39.703,2.29,2.321,971.85,7.105,7.105,7.105,12,11.662,0.6,0.583,7.832,7.612,0.14,0.136,25.184,25.184,25.184,
2024-08-01 11,968.794,228,220.885,15.3,14.823,39.225,38.001,2.05,1.986,951.321,7.189,7.189,7.189,8,7.611,0.53,0.504,7.729,7.353,0.11,0.105,25.104,25.104,25.104,
2024-08-01 10,750.291,228,171.066,15.3,11.479,39.225,29.43,2.05,1.538,836.17,7.168,7.168,7.168,8,6.689,0.53,0.443,7.729,6.463,0.11,0.092,25.025,25.025,25.025,
2024-08-01 09,884.992,211,186.733,16.81,14.877,42.222,37.366,3.2,2.832,934.558,7.308,7.308,7.308,12,11.215,0.46,0.43,7.652,7.151,0.12,0.112,24.97,24.97,24.97,
2024-08-01 08,847.308,211,178.782,16.81,14.243,42.222,35.775,3.2,2.711,901.447,7.345,7.345,7.345,12,10.817,0.46,0.415,7.652,6.898,0.12,0.108,24.946,24.946,24.946,
2024-08-01 07,955.037,285,272.186,16.2,15.472,47.453,45.319,2.24,2.139,954.188,7.337,7.337,7.337,10,9.542,0.48,0.458,7.828,7.469,0.09,0.086,24.945,24.945,24.945,
2024-08-01 06,990.102,285,282.179,16.2,16.04,47.453,46.983,2.24,2.218,964.136,7.323,7.323,7.323,10,9.641,0.48,0.463,7.828,7.547,0.09,0.087,24.948,24.948,24.948,
2024-08-01 05,982.259,218,214.132,15.71,15.431,74.409,73.089,2.38,2.338,958.289,7.308,7.308,7.308,9,8.625,0.44,0.422,7.678,7.358,0.12,0.115,24.947,24.947,24.947,
2024-08-01 04,996.427,218,217.221,15.71,15.654,74.409,74.143,2.38,2.371,972.781,7.314,7.314,7.314,9,8.755,0.44,0.428,7.678,7.469,0.12,0.117,24.945,24.945,24.945,
2024-08-01 03,1003.552,219,219.778,14.51,14.562,85.523,85.827,2.27,2.278,972.643,7.304,7.304,7.304,8,7.781,0.49,0.477,7.88,7.664,0.13,0.126,24.946,24.946,24.946,
2024-08-01 02,986.479,219,216.039,14.51,14.314,85.523,84.367,2.27,2.239,926.154,7.288,7.288,7.288,8,7.409,0.49,0.454,7.88,7.298,0.13,0.12,24.947,24.947,24.947,
2024-08-01 01,958.184,222,212.717,13.81,13.233,45.348,43.452,2.46,2.357,918.81,7.28,7.28,7.28,11,10.107,0.48,0.441,7.911,7.269,0.12,0.11,24.974,24.974,24.974,
2024-08-01 00,977.709,222,217.051,13.81,13.502,45.348,44.337,2.46,2.405,944.119,7.266,7.266,7.266,11,10.385,0.48,0.453,7.911,7.469,0.12,0.113,24.997,24.997,24.997,
2024-07-31 23,949.733,231,219.388,12.82,12.176,70.101,66.577,2.23,2.118,914.545,7.251,7.251,7.251,9,8.231,0.51,0.466,7.932,7.254,0.15,0.137,25.028,25.028,25.028,
2024-07-31 22,1023.77,231,236.491,12.82,13.125,70.101,71.767,2.23,2.283,986.984,7.228,7.228,7.228,9,8.883,0.51,0.503,7.932,7.829,0.15,0.148,25.082,25.082,25.082,
2024-07-31 21,1039.972,367,381.67,10.97,11.408,40.319,41.931,2.19,2.278,973.963,7.193,7.193,7.193,11,10.714,0.55,0.536,7.758,7.556,0.13,0.127,25.108,25.108,25.108,
2024-07-31 20,1030.185,367,378.078,10.97,11.301,40.319,41.536,2.19,2.256,960.471,7.174,7.174,7.174,11,10.565,0.55,0.528,7.758,7.451,0.13,0.125,25.129,25.129,25.129,
2024-07-31 19,985.288,218,214.793,11.65,11.479,39.08,38.505,2.21,2.177,960.361,7.152,7.152,7.152,9,8.643,0.49,0.471,7.872,7.56,0.15,0.144,25.183,25.183,25.183,
2024-07-31 18,994.697,218,216.844,11.65,11.588,39.08,38.873,2.21,2.198,1039.205,7.096,7.096,7.096,9,9.353,0.49,0.509,7.872,8.181,0.15,0.156,25.237,25.237,25.237,
2024-07-31 17,999.031,223,222.784,12.52,12.508,39.264,39.226,2.34,2.338,940.854,7.01,7.01,7.01,11,10.349,0.52,0.489,7.963,7.492,0.14,0.132,25.261,25.261,25.261,
2024-07-31 16,910.17,223,202.968,12.52,11.395,39.264,35.737,2.34,2.13,888.831,7.056,7.056,7.056,11,9.777,0.52,0.462,7.963,7.078,0.14,0.124,25.232,25.232,25.232,
2024-07-31 15,898.496,227,203.959,13.31,11.959,37.781,33.946,2.68,2.408,913.506,7.081,7.081,7.081,10,9.135,0.74,0.676,7.782,7.109,0.13,0.119,25.207,25.207,25.207,
2024-07-31 14,950.409,227,215.743,13.31,12.65,37.781,35.907,2.68,2.547,929.123,7.046,7.046,7.046,10,9.291,0.74,0.688,7.782,7.23,0.13,0.121,25.182,25.182,25.182,
2024-07-31 13,926.626,230,213.124,14.45,13.39,38.723,35.882,2.83,2.622,896.409,7.097,7.097,7.097,12,10.757,0.5,0.448,8.003,7.174,0.15,0.134,25.178,25.178,25.178,
2024-07-31 12,864.331,230,198.796,14.45,12.49,38.723,33.469,2.83,2.446,925.783,7.075,7.075,7.075,12,11.109,0.5,0.463,8.003,7.409,0.15,0.139,25.1,25.1,25.1,
2024-07-31 11,914.055,198,180.983,15.81,14.451,37.882,34.626,3.73,3.409,872.468,7.1,7.1,7.1,11,9.597,0.46,0.401,7.874,6.87,0.19,0.166,24.994,24.994,24.994,
2024-07-31 10,584.888,233,136.279,15.88,9.288,37.851,22.139,2.87,1.679,687.89,7.06,7.06,7.06,13,8.943,0.46,0.316,8.196,5.638,0.11,0.076,24.869,24.869,24.869,
2024-07-31 09,957.172,232,222.064,17.1,16.368,40.22,38.497,3.44,3.293,943.128,7.162,7.162,7.162,13,12.261,1.07,1.009,8.367,7.891,0.13,0.123,24.79,24.79,24.79,
2024-07-31 08,952.837,232,221.058,17.1,16.294,40.22,38.323,3.44,3.278,952.538,7.23,7.23,7.23,13,12.383,1.07,1.019,8.367,7.97,0.13,0.124,24.819,24.819,24.819,
2024-07-31 07,962.531,226,217.532,16.9,16.267,42.65,41.052,3.2,3.08,968.028,7.275,7.275,7.275,11,10.648,0.95,0.92,8.425,8.156,0.11,0.106,24.87,24.87,24.87,
2024-07-31 06,973.065,226,219.913,16.9,16.445,42.65,41.501,3.2,3.114,973.851,7.287,7.287,7.287,11,10.712,0.95,0.925,8.425,8.205,0.11,0.107,24.952,24.952,24.952,
2024-07-31 05,984.44,224,220.515,16.96,16.696,47.598,46.857,3,2.953,986.546,7.298,7.298,7.298,8,7.892,0.64,0.631,8.601,8.485,0.12,0.118,25.004,25.004,25.004,
2024-07-31 04,1046.245,224,234.359,16.96,17.744,47.598,49.799,3,3.139,999.671,7.257,7.257,7.257,8,7.997,0.64,0.64,8.601,8.598,0.12,0.12,25.056,25.056,25.056,
2024-07-31 03,1061.854,244,259.092,15.84,16.82,60.315,64.046,2.97,3.154,1020.848,7.275,7.275,7.275,10,10.208,0.56,0.572,8.874,9.059,0.13,0.133,25.083,25.083,25.083,
2024-07-31 02,1057.617,244,258.059,15.84,16.753,60.315,63.79,2.97,3.141,1019.145,7.245,7.245,7.245,10,10.191,0.56,0.571,8.874,9.044,0.13,0.132,25.107,25.107,25.107,
2024-07-31 01,1063.885,213,226.607,15.6,16.597,94.636,100.682,2.54,2.702,1045.488,7.225,7.225,7.225,9,9.409,0.46,0.481,8.845,9.247,0.15,0.157,25.138,25.138,25.138,
2024-07-31 00,1050.566,213,223.771,15.6,16.389,94.636,99.421,2.54,2.668,1079.721,7.142,7.142,7.142,9,9.717,0.46,0.497,8.845,9.55,0.15,0.162,25.163,25.163,25.163,
2024-07-30 23,1057.029,218,230.432,13.44,14.206,39.573,41.83,2.68,2.833,998.404,7.127,7.127,7.127,12,11.981,0.6,0.599,8.421,8.408,0.14,0.14,25.188,25.188,25.188,
2024-07-30 22,1080.232,218,235.491,13.44,14.518,39.573,42.748,2.68,2.895,1080.777,7.07,7.07,7.07,12,12.969,0.6,0.648,8.421,9.101,0.14,0.151,25.193,25.193,25.193,
2024-07-30 21,966.859,215,207.875,12.65,12.231,37.969,36.711,2.63,2.543,966.66,7.056,7.056,7.056,8,7.733,0.52,0.503,8.864,8.568,0.16,0.155,25.211,25.211,25.211,
2024-07-30 20,941.279,215,202.375,12.65,11.907,37.969,35.739,2.63,2.476,968.107,7.068,7.068,7.068,8,7.745,0.52,0.503,8.864,8.581,0.16,0.155,25.264,25.264,25.264,
2024-07-30 19,951.592,234,222.673,13.84,13.17,33.752,32.118,2.59,2.465,976.119,7.061,7.061,7.061,8,7.809,0.56,0.547,8.806,8.596,0.14,0.137,25.311,25.311,25.311,
2024-07-30 18,946.509,234,221.483,13.84,13.1,33.752,31.947,2.59,2.451,964.016,7.072,7.072,7.072,8,7.712,0.56,0.54,8.806,8.489,0.14,0.135,25.334,25.334,25.334,
2024-07-30 17,801.23,239,191.494,12.74,10.208,39.707,31.814,2.11,1.691,906.719,7.086,7.086,7.086,10,9.067,0.54,0.49,8.669,7.86,0.13,0.118,25.409,25.409,25.409,
2024-07-30 16,1027.36,239,245.539,12.74,13.089,39.707,40.793,2.11,2.168,727.361,7.116,7.116,7.116,10,7.274,0.54,0.393,8.669,6.305,0.13,0.095,25.433,25.433,25.433,
2024-07-30 15,734.886,227,166.819,14.14,10.391,39.097,28.732,2.46,1.808,799.483,7.129,7.129,7.129,6,4.797,0.56,0.448,8.837,7.065,0.12,0.096,25.356,25.356,25.356,
2024-07-30 14,1005.147,227,228.168,14.14,14.213,39.097,39.298,2.46,2.473,975.111,7.11,7.11,7.11,6,5.851,0.56,0.546,8.837,8.617,0.12,0.117,25.439,25.439,25.439,
2024-07-30 13,970.827,340,330.081,14.86,14.426,44.257,42.966,2.74,2.66,940.801,7.15,7.15,7.15,11,10.349,0.48,0.452,8.688,8.174,0.11,0.103,25.385,25.385,25.385,
2024-07-30 12,937.54,340,318.764,14.86,13.932,44.257,41.493,2.74,2.569,931.131,7.143,7.143,7.143,11,10.242,0.48,0.447,8.688,8.09,0.11,0.102,25.307,25.307,25.307,
2024-07-30 11,644.089,237,152.649,15.73,10.132,38.353,24.703,3,1.932,920.18,7.188,7.188,7.188,11,10.122,0.53,0.488,8.524,7.844,0.07,0.064,25.206,25.206,25.206,
2024-07-30 10,818.615,237,194.012,15.73,12.877,38.353,31.396,3,2.456,886.28,7.274,7.274,7.274,11,9.749,0.53,0.47,8.524,7.555,0.07,0.062,25.051,25.051,25.051,
2024-07-30 09,957.006,225,215.326,16.72,16.001,37.961,36.329,2.88,2.756,894.656,7.274,7.274,7.274,6,5.368,0.55,0.492,8.014,7.17,0.11,0.098,24.946,24.946,24.946,
2024-07-30 08,1003.521,225,225.792,16.72,16.779,37.961,38.095,2.88,2.89,954.484,7.342,7.342,7.342,6,5.727,0.55,0.525,8.014,7.649,0.11,0.105,24.899,24.899,24.899,
2024-07-30 07,981.294,220,215.885,16.85,16.535,38.023,37.312,2.98,2.924,906.725,7.352,7.352,7.352,8,7.254,0.37,0.335,8.342,7.564,0.09,0.082,24.891,24.891,24.891,
2024-07-30 06,929.327,220,204.452,16.85,15.659,38.023,35.336,2.98,2.769,879.786,7.357,7.357,7.357,8,7.038,0.37,0.326,8.342,7.339,0.09,0.079,24.897,24.897,24.897,
2024-07-30 05,929.875,227,211.082,16.38,15.231,37.41,34.787,2.78,2.585,885.468,7.362,7.362,7.362,6,5.313,0.59,0.522,8.05,7.128,0.08,0.071,24.926,24.926,24.926,
2024-07-30 04,944.95,227,214.504,16.38,15.478,37.41,35.351,2.78,2.627,904.88,7.357,7.357,7.357,6,5.429,0.59,0.534,8.05,7.284,0.08,0.072,24.922,24.922,24.922,
2024-07-30 03,958.996,242,232.077,15.46,14.826,38.416,36.841,3.45,3.309,919.345,7.36,7.36,7.36,10,9.193,0.52,0.478,8.063,7.413,0.09,0.083,24.949,24.949,24.949,
2024-07-30 02,952.97,242,230.619,15.46,14.733,38.416,36.609,3.45,3.288,932.423,7.36,7.36,7.36,10,9.324,0.52,0.485,8.063,7.518,0.09,0.084,24.946,24.946,24.946,
2024-07-30 01,963.241,234,225.398,14.03,13.514,39.052,37.616,2.81,2.707,960.433,7.348,7.348,7.348,8,7.683,0.52,0.499,7.985,7.669,0.1,0.096,24.977,24.977,24.977,
2024-07-30 00,979.186,234,229.13,14.03,13.738,39.052,38.239,2.81,2.752,963.14,7.339,7.339,7.339,8,7.705,0.52,0.501,7.985,7.691,0.1,0.096,25.031,25.031,25.031,
2024-07-29 23,1009.859,264,266.603,12.85,12.977,38.615,38.996,2.85,2.878,980.033,7.341,7.341,7.341,5,4.9,0.52,0.51,8.154,7.991,0.12,0.118,25.053,25.053,25.053,
2024-07-29 22,1034.676,264,273.154,12.85,13.296,38.615,39.954,2.85,2.949,1024.005,7.329,7.329,7.329,5,5.12,0.52,0.532,8.154,8.35,0.12,0.123,25.108,25.108,25.108,
2024-07-29 21,1049.831,228,239.361,13,13.648,38.055,39.951,2.58,2.709,1007.803,7.322,7.322,7.322,8,8.062,0.6,0.605,7.88,7.941,0.11,0.111,25.132,25.132,25.132,
2024-07-29 20,1029.966,228,234.832,13,13.39,38.055,39.195,2.58,2.657,1018.258,7.338,7.338,7.338,8,8.146,0.6,0.611,7.88,8.024,0.11,0.112,25.19,25.19,25.19,
2024-07-29 19,1028.486,210,215.982,14.73,15.15,37.906,38.986,2.54,2.612,1024.427,7.305,7.305,7.305,8,8.195,0.46,0.471,7.947,8.141,0.1,0.102,25.264,25.264,25.264,
